Dy  01_B 01_E  02_B 02_E  03_B 03_E  04_B 04_E  05_B 05_E  06_B 06_E  07_B 07_E  08_B 08_E  09_B 09_E  10_B 10_E  11_B 11_E  12_B 12_E
01  0737 1749  0723 1823  0647 1858  0553 1934  0503 2010  0431 2045  0431 2055  0500 2031  0535 1942  0609 1849  0644 1802  0718 1739
02  0738 1750  0723 1824  0645 1859  0552 1935  0502 2012  0430 2045  0432 2055  0501 2030  0537 1941  0610 1847  0645 1800  0719 1738
03  0738 1751  0721 1826  0643 1900  0550 1936  0501 2013  0429 2046  0432 2055  0502 2029  0538 1939  0611 1845  0646 1759  0720 1738
04  0738 1752  0720 1827  0642 1901  0548 1938  0459 2014  0429 2047  0433 2055  0503 2027  0539 1937  0612 1844  0647 1758  0721 1738
05  0738 1753  0719 1828  0640 1902  0546 1939  0458 2015  0429 2048  0434 2054  0504 2026  0540 1935  0613 1842  0649 1757  0722 1738
06  0738 1754  0718 1829  0639 1903  0545 1940  0456 2016  0428 2049  0434 2054  0505 2024  0541 1934  0614 1840  0650 1756  0723 1738
07  0737 1754  0717 1831  0637 1905  0543 1941  0455 2018  0428 2049  0435 2053  0507 2023  0542 1932  0615 1839  0651 1755  0724 1738
08  0737 1755  0716 1832  0635 1906  0541 1942  0454 2019  0428 2050  0436 2053  0508 2022  0543 1930  0616 1837  0652 1754  0725 1738
09  0737 1756  0715 1833  0634 1907  0539 1944  0452 2020  0427 2051  0437 2053  0509 2020  0544 1928  0617 1835  0653 1753  0726 1738
10  0737 1757  0714 1834  0632 1908  0538 1945  0451 2021  0427 2051  0437 2052  0510 2019  0546 1926  0619 1834  0655 1752  0726 1738
11  0737 1759  0712 1836  0630 1909  0536 1946  0450 2023  0427 2052  0438 2051  0511 2017  0547 1925  0620 1832  0656 1751  0727 1738
12  0736 1800  0711 1837  0628 1911  0534 1947  0449 2024  0427 2052  0439 2051  0512 2016  0548 1923  0621 1830  0657 1750  0728 1738
13  0736 1801  0710 1838  0627 1912  0532 1948  0447 2025  0427 2053  0440 2050  0514 2014  0549 1921  0622 1829  0658 1749  0729 1739
14  0736 1802  0709 1839  0625 1913  0531 1950  0446 2026  0426 2053  0441 2049  0515 2013  0550 1919  0623 1827  0659 1748  0729 1739
15  0735 1803  0707 1840  0623 1914  0529 1951  0445 2027  0426 2054  0442 2049  0516 2011  0551 1917  0624 1826  0700 1747  0730 1739
16  0735 1804  0706 1842  0622 1915  0527 1952  0444 2028  0426 2054  0443 2048  0517 2009  0552 1915  0625 1824  0702 1746  0731 1739
17  0735 1805  0704 1843  0620 1916  0526 1953  0443 2029  0426 2054  0444 2047  0518 2008  0553 1914  0626 1822  0703 1746  0732 1740
18  0734 1806  0703 1844  0618 1918  0524 1954  0442 2031  0427 2055  0445 2046  0519 2006  0554 1912  0628 1821  0704 1745  0732 1740
19  0733 1807  0702 1845  0616 1919  0522 1956  0441 2032  0427 2055  0446 2045  0521 2005  0555 1910  0629 1819  0705 1744  0733 1740
20  0733 1809  0700 1847  0615 1920  0521 1957  0440 2033  0427 2055  0447 2044  0522 2003  0557 1908  0630 1818  0706 1744  0733 1741
21  0732 1810  0659 1848  0613 1921  0519 1958  0439 2034  0427 2056  0448 2044  0523 2001  0558 1906  0631 1816  0707 1743  0734 1741
22  0732 1811  0657 1849  0611 1922  0517 1959  0438 2035  0427 2056  0449 2043  0524 2000  0559 1905  0632 1815  0708 1742  0734 1742
23  0731 1812  0656 1850  0609 1923  0516 2001  0437 2036  0428 2056  0450 2042  0525 1958  0600 1903  0633 1814  0710 1742  0735 1742
24  0730 1813  0654 1851  0607 1925  0514 2002  0436 2037  0428 2056  0451 2041  0526 1956  0601 1901  0634 1812  0711 1741  0735 1743
25  0730 1814  0653 1853  0606 1926  0513 2003  0435 2038  0428 2056  0452 2039  0527 1955  0602 1859  0636 1811  0712 1741  0736 1744
26  0729 1816  0651 1854  0604 1927  0511 2004  0435 2039  0429 2056  0453 2038  0529 1953  0603 1858  0637 1809  0713 1740  0736 1744
27  0728 1817  0650 1855  0602 1928  0509 2005  0434 2040  0429 2056  0454 2037  0530 1951  0604 1856  0638 1808  0714 1740  0736 1745
28  0727 1818  0648 1856  0600 1929  0508 2007  0433 2041  0429 2056  0455 2036  0531 1949  0605 1854  0639 1807  0715 1740  0737 1746
29  0726 1819   NA   NA   0559 1930  0506 2008  0432 2042  0430 2056  0456 2035  0532 1948  0606 1852  0640 1805  0716 1739  0737 1746
30  0725 1821   NA   NA   0557 1932  0505 2009  0432 2043  0430 2056  0457 2034  0533 1946  0607 1851  0642 1804  0717 1739  0737 1747
31  0724 1822   NA   NA   0555 1933   NA   NA   0431 2044   NA   NA   0459 2032  0534 1944   NA   NA   0643 1803   NA   NA   0737 1748
